model_name,dataset_type,mse,pearson_corr,pearson_corr_without_mean,conf_matrix,mean_value,std_dev,skewness,kurt,vol,mean_over_vol,pos_ratio,neg_ratio,pos_neg_ratio
./results/xgboost_LR_y2_cross/results.json,train,32290.20901979605,0.457724256516374,0.4584013742001879,"[[0.33, 0.187], [0.178, 0.305]]",-5.663956826222446,92.51061680641146,-0.08632741625243348,0.0822714099441213,92.68384232881161,-0.06111050949019357,0.492,0.508,0.968503937007874
./results/xgboost_LR_y2_cross/results.json,val,,,,,,,,,,,,,
./results/xgboost_LR_y2_cross/results.json,test,34012.132348261075,-0.04288244905820136,-0.044632652264399456,"[[0.3, 0.18], [0.29, 0.23]]",-17.0746585347729,115.08772197698099,0.12765136493280188,-0.7981969912054763,116.34744395099517,-0.14675576836878892,0.41,0.59,0.6949152542372882
./results/xgboost_LR_y2_cross/results.json,train_pos,31995.989450878944,0.34783601406037945,0.46689955064018474,"[[0.0, 0.3800813008130081], [0.0, 0.6199186991869918]]",68.59792226733043,54.23931302055485,1.0283081287226996,0.8133058186301301,87.45043176758158,0.7844206241273255,1.0,0.0,inf
./results/xgboost_LR_y2_cross/results.json,val_pos,30665.370054063664,-0.0013209904362661007,0.05355143784803611,"[[0.0, 0.43902439024390244], [0.0, 0.5609756097560976]]",98.19110695802476,60.96215855434201,0.25589837543484306,-0.9706880895228438,115.57628762530396,0.849578308626406,1.0,0.0,inf
./results/xgboost_LR_y2_cross/results.json,test_pos,30665.370054063664,-0.0013209904362661007,0.05355143784803611,"[[0.0, 0.43902439024390244], [0.0, 0.5609756097560976]]",98.19110695802476,60.96215855434201,0.25589837543484306,-0.9706880895228438,115.57628762530396,0.849578308626406,1.0,0.0,inf
./results/lasso_cross_y3/alpha_0.01.json,train,0.0010540185846755676,0.9999999916825237,0.9999999916784152,"[[0.522, 0.0], [0.0, 0.478]]",-4.052316881325861,153.0065950517256,0.09688321642066132,-0.09076950403144446,153.06024761978344,-0.026475305929154192,0.478,0.522,0.9157088122605364
./results/lasso_cross_y3/alpha_0.01.json,val,55133.22241045502,-0.049290506203689126,-0.048612473982154944,"[[0.28, 0.21], [0.3, 0.21]]",3.6869397440542273,169.00671847572212,0.3348651315399841,-0.32218542612806145,169.0469296219493,0.021810155039784347,0.42,0.58,0.7241379310344828
./results/lasso_cross_y3/alpha_0.01.json,test,55133.22241045502,-0.049290506203689126,-0.048612473982154944,"[[0.28, 0.21], [0.3, 0.21]]",3.6869397440542273,169.00671847572212,0.3348651315399841,-0.32218542612806145,169.0469296219493,0.021810155039784347,0.42,0.58,0.7241379310344828
./results/lasso_cross_y3/alpha_0.01.json,train_pos,0.0010915211194834932,0.9999999793042814,0.999999992298697,[[1.0]],123.43058736771451,94.99791784007424,0.8940408404968879,0.3384136219627827,155.75530261242633,0.7924647527079896,1.0,0.0,inf
./results/lasso_cross_y3/alpha_0.01.json,val_pos,62162.15380916821,-0.04537926354972242,-0.005765932827498027,"[[0.0, 0.5], [0.0, 0.5]]",164.1479877727533,111.87449302641134,0.41527410037419504,-0.3650395500033028,198.64658084085048,0.8263318053496407,1.0,0.0,inf
./results/lasso_cross_y3/alpha_0.01.json,test_pos,62162.15380916821,-0.04537926354972242,-0.005765932827498027,"[[0.0, 0.5], [0.0, 0.5]]",164.1479877727533,111.87449302641134,0.41527410037419504,-0.3650395500033028,198.64658084085048,0.8263318053496407,1.0,0.0,inf
./results/lasso_cross_y3/alpha_0.1.json,train,0.10543906311494215,0.9999991647696309,0.9999991643600866,"[[0.522, 0.0], [0.0, 0.478]]",-4.052316881325861,152.77472115913633,0.09691127975948309,-0.09116313552349364,152.828455129791,-0.02651546060505809,0.478,0.522,0.9157088122605364
./results/lasso_cross_y3/alpha_0.1.json,val,55033.2089464656,-0.04918883110309778,-0.048512214751846125,"[[0.28, 0.21], [0.29, 0.22]]",3.6736599344697742,168.73839202397292,0.334700594892951,-0.3219716261423309,168.7783775255293,0.02176617638070433,0.43,0.57,0.7543859649122807
./results/lasso_cross_y3/alpha_0.1.json,test,55033.2089464656,-0.04918883110309778,-0.048512214751846125,"[[0.28, 0.21], [0.29, 0.22]]",3.6736599344697742,168.73839202397292,0.334700594892951,-0.3219716261423309,168.7783775255293,0.02176617638070433,0.43,0.57,0.7543859649122807
./results/lasso_cross_y3/alpha_0.1.json,train_pos,0.10918444106816552,0.9999979217578231,0.9999992266008629,[[1.0]],123.23759463192896,94.85354125451036,0.8939131626059161,0.3373362010640655,155.51430486995318,0.7924518245121231,1.0,0.0,inf
./results/lasso_cross_y3/alpha_0.1.json,val_pos,62700.770218000594,-0.1057182779882884,-0.005399169042845943,"[[0.0, 0.4883720930232558], [0.0, 0.5116279069767442]]",160.0569320516351,113.12642318564777,0.42090742790440955,-0.40195513715535114,195.99951306204818,0.8166190290532271,1.0,0.0,inf
./results/lasso_cross_y3/alpha_0.1.json,test_pos,62700.770218000594,-0.1057182779882884,-0.005399169042845943,"[[0.0, 0.4883720930232558], [0.0, 0.5116279069767442]]",160.0569320516351,113.12642318564777,0.42090742790440955,-0.40195513715535114,195.99951306204818,0.8166190290532271,1.0,0.0,inf
./results/lasso_cross_y3/alpha_0.001.json,train,0.003152338009730203,0.9999999327423106,0.9999999327894068,"[[0.522, 0.0], [0.0, 0.478]]",-4.052316881325853,153.03090173909172,0.09698148262827583,-0.09061544399931565,153.08454578822193,-0.026471103666674836,0.478,0.522,0.9157088122605364
